bhk,type,area,price,status,age,latitude,longitude
2,0.2,789,0.98,1,0.0,19.2929077,72.8568725
1,0.2,659,0.59,1,0.0,19.269468,72.880541
1,0.2,656,0.61,1,0.0,19.269468,72.880541
2,0.2,850,0.78,1,0.0,19.269468,72.880541
2,0.2,825,1.1,1,0.0,19.29377078,72.85658761
1,0.0,380,0.14,1,0.0,19.2192645,72.8358308
1,0.2,600,0.18,0,0.0,19.04285602,72.84660546
1,0.2,600,0.3,1,0.0,19.01831192,72.85234187
1,0.2,650,0.455,0,0.0,18.96904755,72.82118225
3,0.2,1555,2.56,0,0.0,18.96904755,72.82118225
2,0.2,1125,1.0,0,0.0,19.052124,72.892517
2,0.2,1233,2.75,1,0.0,19.1926379,72.8218867
2,0.0,415,0.95,1,0.0,18.9574398,72.8108361
